取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/08/29 23:14:46,800,-,-,-,-,-,支払い,あまやどり - ボードゲームカフェあまやどり,PayPay残高,-,-,04787439293110009856
2025/08/23 15:36:27,"1,353",-,-,-,-,-,支払い,ラコマート - 駒込店,PayPay残高,-,-,04782750056404320257
2025/08/21 12:19:46,"1,829",-,-,-,-,-,支払い,ラコマート - 駒込店,PayPay残高,-,-,04781164345887629312
2025/08/19 12:25:57,"1,532",-,-,-,-,-,支払い,ラコマート - 駒込店,PayPay残高,-,-,04779683192052342784
2025/08/10 19:57:00,437,-,-,-,-,-,支払い,ラコマート - 駒込店,PayPay残高,-,-,04773236119718731777
2025/08/10 14:46:49,-,"10,000",-,-,-,-,チャージ,PayPay,三井住友銀行 *****36,-,-,02061927981708632090
2025/08/07 07:43:27,-,"5,200",-,-,-,-,受け取った金額,みやがわ,PayPay残高,-,-,02059483260555657219
2025/08/04 10:40:14,-,11,-,-,-,-,ポイント、残高の獲得,モスのネット注文,PayPayポイント,-,-,04767001021201833990
2025/08/02 10:19:19,"2,390",-,-,-,-,-,支払い,モスのネット注文,"PayPayポイント (15円), PayPay残高 (2,375円)",-,-,04767001021201833990
